Step,Time_ms,Electrical_Angle_deg,Mechanical_Angle_deg,Current_A_Phase,Current_B_Phase,Current_C_Phase,Flux_Linkage_A_Wb,Flux_Linkage_B_Wb,Flux_Linkage_C_Wb,BackEMF_A_V,BackEMF_B_V,BackEMF_C_V,Torque_Nm
0,0.000000,0.0000,10.0000,439.620143,-528.112840,88.492697,-0.00620881,-0.01501261,0.02079476,N/A,N/A,N/A,302.920231
1,0.069444,3.7500,11.2500,461.962225,-513.723357,51.761132,-0.00498159,-0.01619737,0.01985878,17.671971,-17.060606,-13.478112,304.213191
2,0.138889,7.5000,12.5000,482.326114,-497.134032,14.807918,-0.00370190,-0.01725044,0.01897796,18.427622,-15.164158,-12.683803,315.279341
3,0.208333,11.2500,13.7500,500.624608,-478.415902,-22.208706,-0.00245265,-0.01818552,0.01826401,17.989070,-13.465074,-10.280921,319.606840
4,0.277778,15.0000,15.0000,516.779350,-457.649122,-59.130228,-0.00126059,-0.01908047,0.01758562,17.165772,-12.887359,-9.768790,314.205635
5,0.347222,18.7500,16.2500,530.721165,-434.922618,-95.798546,-0.00004038,-0.01992227,0.01678703,17.571023,-12.121943,-11.499706,295.605977
6,0.416667,22.5000,17.5000,542.390349,-410.333709,-132.056640,0.00126888,-0.02065542,0.01592779,18.853368,-10.557267,-12.372966,285.339856
7,0.486111,26.2500,18.7500,551.736935,-383.987688,-167.749247,0.00263751,-0.02129415,0.01515785,19.708245,-9.197747,-11.087164,293.038232
8,0.555556,30.0000,20.0000,558.720899,-355.997373,-202.723526,0.00398078,-0.02183211,0.01448746,19.343028,-7.746696,-9.653653,301.307001
9,0.625000,33.7500,21.2500,563.312334,-326.482622,-236.829712,0.00525049,-0.02228559,0.01381527,18.283838,-6.530131,-9.679573,307.071121
10,0.694444,37.5000,22.5000,565.491579,-295.569823,-269.921756,0.00656462,-0.02253298,0.01300085,18.923509,-3.562357,-11.727601,294.772403
11,0.763889,41.2500,23.7500,565.249302,-263.391348,-301.857954,0.00796019,-0.02252296,0.01196716,20.096229,0.144311,-14.885148,283.313232
12,0.833333,45.0000,25.0000,562.586541,-230.084991,-332.501550,0.00942585,-0.02238707,0.01079352,21.105527,1.956810,-16.900457,292.127048
13,0.902778,48.7500,26.2500,557.514698,-195.793375,-361.721324,0.01090656,-0.02219543,0.00961606,21.322124,2.759592,-16.955327,304.931794
14,0.972222,52.5000,27.5000,550.055492,-160.663341,-389.392151,0.01231318,-0.02195419,0.00846907,20.255427,3.473846,-16.516746,316.893679
15,1.041667,56.2500,28.7500,540.240863,-124.845322,-415.395541,0.01369934,-0.02152693,0.00735372,19.960656,6.152567,-16.061026,316.417309
16,1.111111,60.0000,30.0000,528.112840,-88.492697,-439.620143,0.01501781,-0.02079762,0.00621071,18.985938,10.502028,-16.459255,303.692636
17,1.180556,63.7500,31.2500,513.723357,-51.761132,-461.962225,0.01620644,-0.01986239,0.00498151,17.116312,13.467333,-17.700535,305.612808
18,1.250000,67.5000,32.5000,497.134032,-14.807918,-482.326114,0.01725882,-0.01898159,0.00370054,15.154272,12.683463,-18.445925,315.952899
19,1.319444,71.2500,33.7500,478.415902,22.208706,-500.624608,0.01819373,-0.01826613,0.00244818,13.462657,10.302694,-18.033981,319.735892
20,1.388889,75.0000,35.0000,457.649122,59.130228,-516.779350,0.01908718,-0.01758605,0.00125506,12.865636,9.793217,-17.180983,313.783563
21,1.458333,78.7500,36.2500,434.922618,95.798546,-530.721165,0.01992796,-0.01678707,0.00003512,12.107357,11.505206,-17.567132,295.116579
22,1.527778,82.5000,37.5000,410.333709,132.056640,-542.390349,0.02065855,-0.01592806,-0.00127243,10.520450,12.369809,-18.828743,285.126271
23,1.597222,86.2500,38.7500,383.987688,167.749247,-551.736935,0.02129757,-0.01515926,-0.00264088,9.201878,11.070674,-19.705608,293.142634
24,1.666667,90.0000,40.0000,355.997373,202.723526,-558.720899,0.02183456,-0.01448994,-0.00398147,7.732589,9.638228,-19.304478,301.305489
25,1.736111,93.7500,41.2500,326.482622,236.829712,-563.312334,0.02228719,-0.01381703,-0.00524994,6.517945,9.689960,-18.266058,307.283777
26,1.805556,97.5000,42.5000,295.569823,269.921756,-565.491579,0.02253535,-0.01300244,-0.00656391,3.573459,11.730076,-18.921170,294.712402
27,1.875000,101.2500,43.7500,263.391348,301.857954,-565.249302,0.02252729,-0.01196869,-0.00796040,-0.116098,14.886001,-20.109486,283.416250
28,1.944444,105.0000,45.0000,230.084991,332.501550,-562.586541,0.02238811,-0.01079380,-0.00942895,-2.004141,16.918413,-21.147004,292.440403
29,2.013889,108.7500,46.2500,195.793375,361.721324,-557.514698,0.02219547,-0.00961577,-0.01091126,-2.774008,16.963579,-21.345378,305.606007
30,2.083333,112.5000,47.5000,160.663341,389.392151,-550.055492,0.02195352,-0.00846935,-0.01231689,-3.484093,16.508461,-20.240955,317.316546
31,2.152778,116.2500,48.7500,124.845322,415.395541,-540.240863,0.02152683,-0.00735505,-0.01370268,-6.144376,16.045977,-19.955436,316.423828
32,2.222222,120.0000,50.0000,88.492697,439.620143,-528.112840,0.02079944,-0.00621306,-0.01502157,-10.474423,16.444584,-18.992029,303.593080
